Universidad, pais,  Grupo, PI, pagina web,
Universidad de los Andes, Colombia,  , Jaime Forero-Romero, http://astroandes.github.io/
Universidad Nacional de Colombia, Colombia, , Rigoberto Casas Miranda, http://ciencias.bogota.unal.edu.co/index.php?id=461 
Universidad de Antioquia, Colombia, , Juan Carlos Munoz Cuartas, https://sites.google.com/site/juancarlosmunozc/
Universidad Catolica de Chile, Chile , , Nelson Padilla
Universidad de Cordoba, Argentina, Mario Abadi, ,
Univerdad de Buenos Aires, Argentina, Astrofisica Numerica, ,Patricia Tissera, http://www.iafe.uba.ar/AstroNum/index_html
Univerdad de Buenos Aires, Argentina, Astrofisica Numerica, ,Susana Pedrosa, http://www.iafe.uba.ar/AstroNum/index_html
Universidad de la plata, Argentina, , Daniel Carpintero 
UNAM DF, Mexico, Octavio Valenzuela, http://www.astroscu.unam.mx/IA/index.php?option=com_content&view=article&id=574&Itemid=88&lang=es
UNAM DF, Mexico, Vladimir Avila Reese, http://www.astroscu.unam.mx/IA/index.php?option=com_content&view=article&id=442&Itemid=88&lang=es
UNAM DF, Mexico, Aldo, 
UNAM DF, Mexico, Xavier Hernandez, http://www.astroscu.unam.mx/IA/index.php?option=com_content&view=article&id=453&Itemid=88&lang=es
UNAM Morelia, Mexico, , Vicente Rodriguez-Gomez
Universidad de la Serena, Chile, , Facundo Gomez, ,
UNAM ensenada, Mexico, , Luis Aguilar, http://www.astrosen.unam.mx/~aguilar/MiSitio/Bienvenidos.html
UNAM ensenada, Mexico, , Miguel Aragon-Calvo, http://skysrv.pha.jhu.edu/~miguel/aboutus.html
